Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth,
2010-01-01,34,27,30.5,3.6,34,0,T,T,M,
2010-01-02,33,16,24.5,-2.3,40,0,0.03,0.5,M,
2010-01-03,20,13,16.5,-10.1,48,0,0.02,0.5,M,
2010-01-04,31,18,24.5,-1.9,40,0,0,0,M,
2010-01-05,27,18,22.5,-3.8,42,0,0,0,M,
2010-01-06,29,21,25,-1.2,40,0,0,0,M,
2010-01-07,37,26,31.5,5.4,33,0,0,0,M,
2010-01-08,29,21,25,-1,40,0,0.05,0.7,M,
2010-01-09,27,12,19.5,-6.4,45,0,0,0,M,
2010-01-10,27,7,17,-8.8,48,0,0,0,M,
2010-01-11,34,12,23,-2.8,42,0,0,0,M,
2010-01-12,33,16,24.5,-1.2,40,0,0,0,M,
2010-01-13,30,12,21,-4.7,44,0,0,0,M,
2010-01-14,40,28,34,8.4,31,0,0,0,0,
2010-01-15,48,27,37.5,11.9,27,0,0,0,M,
2010-01-16,48,26,37,11.4,28,0,0,0,0,
2010-01-17,38,23,30.5,4.8,34,0,0.61,T,M,
2010-01-18,43,33,38,12.3,27,0,0.17,T,0,
2010-01-19,39,33,36,10.3,29,0,0.13,0,M,
2010-01-20,41,29,35,9.2,30,0,T,T,M,
2010-01-21,44,23,33.5,7.7,31,0,0,0,M,
2010-01-22,41,20,30.5,4.6,34,0,0,0,M,
2010-01-23,39,19,29,3,36,0,0,0,M,
2010-01-24,34,17,25.5,-0.6,39,0,0.04,0,M,
2010-01-25,57,33,45,18.8,20,0,1.51,0,0,
2010-01-26,45,28,36.5,10.2,28,0,T,0,0,
2010-01-27,42,26,34,7.6,31,0,0,0,0,
2010-01-28,34,17,25.5,-1,39,0,0.1,4.7,0,
2010-01-29,18,8,13,-13.6,52,0,T,T,M,
2010-01-30,19,1,10,-16.8,55,0,0,0,M,
2010-01-31,28,5,16.5,-10.4,48,0,0,0,M,
2010-02-01,34,16,25,-2.1,40,0,0,0,M,
2010-02-02,30,16,23,-4.2,42,0,T,T,M,
2010-02-03,34,23,28.5,1.1,36,0,0.09,0.8,M,
2010-02-04,34,23,28.5,1,36,0,0,0,M,
2010-02-05,36,15,25.5,-2.2,39,0,0,0,M,
2010-02-06,28,15,21.5,-6.4,43,0,0,0,M,
2010-02-07,31,7,19,-9.1,46,0,0,0,M,
2010-02-08,32,19,25.5,-2.8,39,0,0,0,0,
2010-02-09,40,20,30,1.5,35,0,0,0,0,
2010-02-10,35,29,32,3.3,33,0,0.13,1.7,M,
2010-02-11,39,24,31.5,2.6,33,0,0,0,0,
2010-02-12,36,20,28,-1.1,37,0,0,0,0,
2010-02-13,33,17,25,-4.3,40,0,0,0,0,
2010-02-14,37,27,32,2.5,33,0,0,0,0,
2010-02-15,42,30,36,6.3,29,0,T,T,M,
2010-02-16,31,29,30,0.1,35,0,0.54,4.2,M,
2010-02-17,35,26,30.5,0.4,34,0,T,T,M,
2010-02-18,43,29,36,5.6,29,0,0,0,M,
2010-02-19,41,32,36.5,5.9,28,0,0,0,M,
2010-02-20,45,35,40,9.2,25,0,0,0,M,
2010-02-21,41,27,34,3,31,0,0,0,M,
2010-02-22,47,23,35,3.7,30,0,0,0,0,
2010-02-23,37,33,35,3.5,30,0,0.34,0.8,M,
2010-02-24,37,33,35,3.2,30,0,1.14,2.6,M,
2010-02-25,44,35,39.5,7.5,25,0,1.52,0,M,
2010-02-26,40,32,36,3.7,29,0,0.14,0.6,M,
2010-02-27,38,30,34,1.5,31,0,0.04,0.6,M,
2010-02-28,40,31,35.5,2.7,29,0,0.01,0.1,M,
2010-03-01,50,35,42.5,9.4,22,0,0,0,M,
2010-03-02,50,33,41.5,8.2,23,0,0,0,0,
2010-03-03,40,33,36.5,2.9,28,0,0.06,T,0,
2010-03-04,47,35,41,7.1,24,0,T,T,0,
2010-03-05,49,32,40.5,6.4,24,0,0,0,0,
2010-03-06,58,24,41,6.6,24,0,0,0,M,
2010-03-07,58,29,43.5,8.8,21,0,0,0,0,
2010-03-08,59,32,45.5,10.5,19,0,0,0,0,
2010-03-09,57,30,43.5,8.2,21,0,0,0,0,
2010-03-10,58,28,43,7.4,22,0,0,0,0,
2010-03-11,51,39,45,9.1,20,0,T,0,0,
2010-03-12,53,39,46,9.7,19,0,0.01,0,0,
2010-03-13,44,37,40.5,3.9,24,0,0.46,0,0,
2010-03-14,47,41,44,7.1,21,0,0.54,0,0,
2010-03-15,44,40,42,4.8,23,0,0.22,0,M,
2010-03-16,62,36,49,11.4,16,0,0,0,0,
2010-03-17,67,28,47.5,9.6,17,0,0,0,0,
2010-03-18,69,36,52.5,14.2,12,0,0,0,0,
2010-03-19,73,34,53.5,14.9,11,0,0,0,0,
2010-03-20,74,37,55.5,16.5,9,0,0,0,0,
2010-03-21,72,43,57.5,18.1,7,0,0,0,0,
2010-03-22,52,43,47.5,7.8,17,0,0.5,0,0,
2010-03-23,48,42,45,4.9,20,0,1.07,0,0,
2010-03-24,57,40,48.5,8,16,0,0,0,0,
2010-03-25,64,36,50,9.1,15,0,T,0,0,
2010-03-26,48,28,38,-3.3,27,0,0.23,0,0,
2010-03-27,43,22,32.5,-9.2,32,0,0,0,0,
2010-03-28,47,26,36.5,-5.6,28,0,0.12,0,0,
2010-03-29,54,45,49.5,7,15,0,1.58,0,0,
2010-03-30,51,41,46,3.1,19,0,1.81,0,0,
2010-03-31,54,47,50.5,7.2,14,0,0.21,0,0,
2010-04-01,69,47,58,14.3,7,0,0,0,0,
2010-04-02,74,40,57,12.9,8,0,0,0,0,
2010-04-03,76,45,60.5,16,4,0,0,0,0,
2010-04-04,76,45,60.5,15.6,4,0,0,0,0,
2010-04-05,75,41,58,12.7,7,0,T,0,0,
2010-04-06,75,46,60.5,14.8,4,0,0.03,0,0,
2010-04-07,93,46,69.5,23.3,0,5,0,0,0,
2010-04-08,84,57,70.5,23.9,0,6,0,0,0,
2010-04-09,60,41,50.5,3.5,14,0,0.22,0,0,
2010-04-10,61,40,50.5,3.1,14,0,0,0,0,
2010-04-11,72,48,60,12.2,5,0,0,0,0,
2010-04-12,63,40,51.5,3.3,13,0,0,0,0,
2010-04-13,61,36,48.5,-0.1,16,0,0,0,0,
2010-04-14,68,33,50.5,1.5,14,0,0,0,0,
2010-04-15,72,40,56,6.6,9,0,T,0,0,
2010-04-16,54,41,47.5,-2.3,17,0,0.47,0,0,
2010-04-17,50,41,45.5,-4.7,19,0,0.02,0,0,
2010-04-18,56,39,47.5,-3.1,17,0,0,0,0,
2010-04-19,62,39,50.5,-0.4,14,0,0,0,0,
2010-04-20,71,37,54,2.7,11,0,0,0,0,
2010-04-21,72,37,54.5,2.8,10,0,0,0,0,
2010-04-22,74,44,59,7,6,0,T,0,0,
2010-04-23,66,42,54,1.6,11,0,0,0,0,
2010-04-24,71,38,54.5,1.8,10,0,0,0,0,
2010-04-25,55,48,51.5,-1.6,13,0,0.2,0,0,
2010-04-26,63,48,55.5,2.1,9,0,0.33,0,M,
2010-04-27,57,36,46.5,-7.3,18,0,0.03,0,M,
2010-04-28,55,35,45,-9.1,20,0,0,0,M,
