Weekly Lower 48 States Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly East Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Midwest Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Mountain Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Pacific Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly South Central  Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Salt South Central Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Nonsalt South Central Region Natural Gas Working Underground Storage (Billion Cubic Feet),
"Jan 01, 2010",3117,769,900,195,268,985,159,826,
"Jan 08, 2010",2850,703,820,185,257,886,123,763,
"Jan 15, 2010",2607,642,750,176,246,793,91,702,
"Jan 22, 2010",2521,616,710,171,235,789,102,687,
"Jan 29, 2010",2406,582,661,164,221,779,108,671,
"Feb 05, 2010",2214,523,604,157,211,719,95,624,
"Feb 12, 2010",2026,471,552,148,197,658,85,573,
"Feb 19, 2010",1853,425,502,141,193,592,71,521,
"Feb 26, 2010",1738,390,464,133,184,566,70,496,
"Mar 05, 2010",1627,349,433,129,182,535,63,472,
"Mar 12, 2010",1614,341,422,127,176,548,71,477,
"Mar 19, 2010",1626,334,419,126,179,567,80,487,
"Mar 26, 2010",1638,336,410,126,185,581,89,492,
"Apr 02, 2010",1670,333,410,126,189,612,101,511,
"Apr 09, 2010",1754,358,429,126,193,649,112,537,
"Apr 16, 2010",1828,376,444,129,199,679,120,559,
"Apr 23, 2010",1912,397,462,134,209,710,126,584,
"Apr 30, 2010",1994,416,480,138,220,741,133,608,
"May 07, 2010",2091,444,506,142,230,770,138,632,
"May 14, 2010",2165,463,520,147,241,794,144,650,
"May 21, 2010",2268,491,546,154,253,824,149,675,
"May 28, 2010",2357,518,567,161,265,846,151,695,
"Jun 04, 2010",2456,545,593,165,279,874,158,716,
"Jun 11, 2010",2542,571,619,168,288,895,160,735,
"Jun 18, 2010",2625,596,645,173,299,912,161,751,
"Jun 25, 2010",2684,615,666,178,305,920,158,762,
"Jul 02, 2010",2761,638,691,182,311,938,160,778,
"Jul 09, 2010",2841,659,715,188,318,962,168,794,
"Jul 16, 2010",2893,681,735,192,317,968,163,805,
"Jul 23, 2010",2919,698,751,195,314,962,157,805,
